hospital_id,measure_id,measure_name,score,compared_to_national
H0001,MORT_30_AMI,Acute Myocardial Infarction 30-Day Mortality Rate,81.7,Better
H0001,MORT_30_HF,Heart Failure 30-Day Mortality Rate,110.7,Same
H0001,MORT_30_PN,Pneumonia 30-Day Mortality Rate,110.7,Worse
H0002,MORT_30_AMI,Acute Myocardial Infarction 30-Day Mortality Rate,106.7,Same
H0002,MORT_30_HF,Heart Failure 30-Day Mortality Rate,83.8,Same
H0002,MORT_30_PN,Pneumonia 30-Day Mortality Rate,109.2,Worse
H0003,MORT_30_AMI,Acute Myocardial Infarction 30-Day Mortality Rate,104.9,Same
H0003,MORT_30_HF,Heart Failure 30-Day Mortality Rate,81.2,Worse
H0003,MORT_30_PN,Pneumonia 30-Day Mortality Rate,92.2,Same
H0004,MORT_30_AMI,Acute Myocardial Infarction 30-Day Mortality Rate,115.7,Same
H0004,MORT_30_HF,Heart Failure 30-Day Mortality Rate,76.7,Same
H0004,MORT_30_PN,Pneumonia 30-Day Mortality Rate,109.1,Same
H0005,MORT_30_AMI,Acute Myocardial Infarction 30-Day Mortality Rate,68.8,Same
H0005,MORT_30_HF,Heart Failure 30-Day Mortality Rate,125.4,Worse
H0005,MORT_30_PN,Pneumonia 30-Day Mortality Rate,91.8,Worse
H0006,MORT_30_AMI,Acute Myocardial Infarction 30-Day Mortality Rate,106,Same
H0006,MORT_30_HF,Heart Failure 30-Day Mortality Rate,101.7,Same
H0006,MORT_30_PN,Pneumonia 30-Day Mortality Rate,102.3,Better
H0007,MORT_30_AMI,Acute Myocardial Infarction 30-Day Mortality Rate,104.6,Same
H0007,MORT_30_HF,Heart Failure 30-Day Mortality Rate,74.3,Same
H0007,MORT_30_PN,Pneumonia 30-Day Mortality Rate,102.6,Worse
H0008,MORT_30_AMI,Acute Myocardial Infarction 30-Day Mortality Rate,97.2,Same
H0008,MORT_30_HF,Heart Failure 30-Day Mortality Rate,91.9,Better
H0008,MORT_30_PN,Pneumonia 30-Day Mortality Rate,88.3,Worse
H0009,MORT_30_AMI,Acute Myocardial Infarction 30-Day Mortality Rate,102.9,Same
H0009,MORT_30_HF,Heart Failure 30-Day Mortality Rate,85.3,Same
H0009,MORT_30_PN,Pneumonia 30-Day Mortality Rate,115.4,Same
H0010,MORT_30_AMI,Acute Myocardial Infarction 30-Day Mortality Rate,107.1,Better
H0010,MORT_30_HF,Heart Failure 30-Day Mortality Rate,103.8,Same
H0010,MORT_30_PN,Pneumonia 30-Day Mortality Rate,114.7,Same
H0011,MORT_30_AMI,Acute Myocardial Infarction 30-Day Mortality Rate,72.4,Same
H0011,MORT_30_HF,Heart Failure 30-Day Mortality Rate,80.8,Better
H0011,MORT_30_PN,Pneumonia 30-Day Mortality Rate,107.8,Better
