hospital_id,measure_id,measure_name,score,compared_to_national
H0001,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,125.9,Worse
H0001,READM_30_HF,Heart Failure 30-Day Readmission Rate,94,Same
H0001,READM_30_PN,Pneumonia 30-Day Readmission Rate,78.7,Same
H0002,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,73.6,Better
H0002,READM_30_HF,Heart Failure 30-Day Readmission Rate,77.1,Same
H0002,READM_30_PN,Pneumonia 30-Day Readmission Rate,118.9,Better
H0003,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,91.7,Same
H0003,READM_30_HF,Heart Failure 30-Day Readmission Rate,138.4,Better
H0003,READM_30_PN,Pneumonia 30-Day Readmission Rate,123.1,Same
H0004,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,130.1,Same
H0004,READM_30_HF,Heart Failure 30-Day Readmission Rate,115.4,Same
H0004,READM_30_PN,Pneumonia 30-Day Readmission Rate,108.9,Worse
H0005,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,87.7,Better
H0005,READM_30_HF,Heart Failure 30-Day Readmission Rate,99.9,Same
H0005,READM_30_PN,Pneumonia 30-Day Readmission Rate,110.4,Same
H0006,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,114.3,Same
H0006,READM_30_HF,Heart Failure 30-Day Readmission Rate,82.9,Same
H0006,READM_30_PN,Pneumonia 30-Day Readmission Rate,97.1,Same
H0007,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,98.8,Same
H0007,READM_30_HF,Heart Failure 30-Day Readmission Rate,98.2,Same
H0007,READM_30_PN,Pneumonia 30-Day Readmission Rate,84.6,Same
H0008,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,127.8,Same
H0008,READM_30_HF,Heart Failure 30-Day Readmission Rate,96.6,Worse
H0008,READM_30_PN,Pneumonia 30-Day Readmission Rate,85.6,Same
H0009,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,128.3,Better
H0009,READM_30_HF,Heart Failure 30-Day Readmission Rate,123.1,Same
H0009,READM_30_PN,Pneumonia 30-Day Readmission Rate,102.1,Same
H0010,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,73.5,Worse
H0010,READM_30_HF,Heart Failure 30-Day Readmission Rate,93,Worse
H0010,READM_30_PN,Pneumonia 30-Day Readmission Rate,76.1,Worse
H0011,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,107.7,Same
H0011,READM_30_HF,Heart Failure 30-Day Readmission Rate,92,Same
H0011,READM_30_PN,Pneumonia 30-Day Readmission Rate,99.6,Same
H0012,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,126.6,Same
H0012,READM_30_HF,Heart Failure 30-Day Readmission Rate,91,Same
H0012,READM_30_PN,Pneumonia 30-Day Readmission Rate,107,Better
H0013,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,111.5,Worse
H0013,READM_30_HF,Heart Failure 30-Day Readmission Rate,118.4,Better
H0013,READM_30_PN,Pneumonia 30-Day Readmission Rate,98.5,Same
H0014,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,96.9,Same
H0014,READM_30_HF,Heart Failure 30-Day Readmission Rate,96.6,Same
H0014,READM_30_PN,Pneumonia 30-Day Readmission Rate,105.5,Same
H0015,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,122.4,Better
H0015,READM_30_HF,Heart Failure 30-Day Readmission Rate,95.9,Same
H0015,READM_30_PN,Pneumonia 30-Day Readmission Rate,63.6,Same
H0016,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,113.3,Worse
H0016,READM_30_HF,Heart Failure 30-Day Readmission Rate,101,Worse
H0016,READM_30_PN,Pneumonia 30-Day Readmission Rate,107.7,Better
H0017,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,76.6,Same
H0017,READM_30_HF,Heart Failure 30-Day Readmission Rate,92.1,Worse
H0017,READM_30_PN,Pneumonia 30-Day Readmission Rate,111.9,Better
H0018,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,81.2,Same
H0018,READM_30_HF,Heart Failure 30-Day Readmission Rate,107,Same
H0018,READM_30_PN,Pneumonia 30-Day Readmission Rate,99.5,Same
H0019,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,89,Worse
H0019,READM_30_HF,Heart Failure 30-Day Readmission Rate,87.8,Same
H0019,READM_30_PN,Pneumonia 30-Day Readmission Rate,84.8,Worse
H0020,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,100.9,Same
H0020,READM_30_HF,Heart Failure 30-Day Readmission Rate,102.6,Same
H0020,READM_30_PN,Pneumonia 30-Day Readmission Rate,94.5,Better
H0021,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,83.9,Better
H0021,READM_30_HF,Heart Failure 30-Day Readmission Rate,56.2,Worse
H0021,READM_30_PN,Pneumonia 30-Day Readmission Rate,106.5,Same
H0022,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,113.6,Same
H0022,READM_30_HF,Heart Failure 30-Day Readmission Rate,109.3,Better
H0022,READM_30_PN,Pneumonia 30-Day Readmission Rate,130.9,Same
H0023,READM_30_AMI,Acute Myocardial Infarction 30-Day Readmission Rate,97.3,Better
